ParcelMaster.parcelnumber,Parcels.current_taxable
06-106-0028-000,1050
06-106-0029-000,23900
06-106-0030-000,4900
06-106-0031-000,50851
06-106-0032-000,0
06-106-0032-100,303121
06-106-0032-200,0
06-106-0040-000,0
06-106-0041-000,26252
06-106-0041-100,26189
06-109-0001-000,43277
06-109-0002-000,35370
06-109-0004-000,34024
06-109-0005-000,26680
06-109-0006-000,81819
06-109-0007-000,0
06-109-0008-000,0
06-109-0009-000,0
06-109-0010-000,0
06-109-0011-000,0
06-112-0001-000,0
06-112-0001-100,74827
06-112-0002-000,2369
06-112-0003-000,16117
06-112-0004-000,0
06-112-0004-100,5250
06-112-0004-200,0
06-112-0005-000,44091
06-112-0006-000,0
06-112-0006-100,0
06-112-0006-200,0
06-115-0001-000,0
06-115-0002-000,0
06-115-0003-000,0
06-118-0001-000,53007
06-118-0003-000,63850
06-118-0004-000,72790
06-118-0005-000,82741
06-118-0006-000,62788
06-118-0007-000,85189
06-118-0008-000,58627
06-118-0009-000,86988
06-118-0010-000,53609
06-118-0011-000,57772
06-118-0012-000,100957
06-118-0013-000,95257
06-118-0014-000,53487
06-118-0015-000,134205
06-118-0016-000,100003
06-118-0017-000,65093
06-118-0018-000,81199
06-118-0019-000,90330
06-118-0020-000,94588
06-118-0021-000,66216
06-118-0022-000,90454
06-118-0023-000,118671
06-118-0024-000,71970
06-118-0025-000,68053
06-118-0026-000,94500
06-118-0027-000,73587
06-118-0028-000,84747
06-118-0029-000,45673
06-118-0030-000,57850
06-118-0031-000,78300
06-118-0032-000,0
06-118-0033-000,32678
06-118-0034-000,113003
06-118-0035-000,357600
06-118-0036-000,53850
06-118-0037-000,0
06-118-0038-000,187290
06-118-0039-000,56669
06-118-0040-000,0
06-118-0040-100,182241
06-118-0040-200,0
06-118-0041-000,62788
06-118-0042-000,0
06-118-0042-100,89305
06-118-0043-000,188071
06-118-0044-000,521430
06-118-0045-000,238552
06-118-0046-000,372512
06-118-0047-000,267870
06-118-0048-000,0
06-121-0001-000,34333
06-121-0002-000,23646
06-121-0003-000,32645
06-121-0004-000,33730
06-121-0005-000,19875
06-121-0005-100,37684
06-121-0006-000,56175
06-121-0007-000,0
06-121-0007-100,0
06-121-0007-200,0
06-121-0008-000,0
06-121-0008-100,0
06-121-0010-000,26947
06-121-0011-000,33500
06-121-0012-000,0
06-121-0013-000,0
06-121-0013-100,30000
06-121-0014-000,34125
06-121-0015-000,0
06-121-0016-000,0
06-121-0016-100,20686
06-121-0017-000,0
06-121-0017-100,62041
06-121-0018-000,0
06-121-0019-000,27332
06-121-0020-000,35819
06-121-0021-000,27543
06-121-0022-000,29081
06-121-0023-000,15601
06-121-0024-000,0
06-121-0025-000,48610
06-121-0026-000,23996
06-121-0027-000,39800
06-121-0028-000,0
06-121-0028-100,1979
06-121-0029-000,0
06-121-0030-000,41849
06-121-0031-000,18510
06-121-0032-000,24150
06-121-0033-000,17007
06-121-0034-000,12647
06-121-0035-000,25725
06-121-0036-000,26982
06-121-0037-000,23128
06-121-0039-000,27705
06-121-0040-000,29151
06-121-0041-000,28426
06-121-0042-000,55755
06-121-0043-000,27705
06-121-0044-000,0
06-121-0045-000,27464
06-121-0046-000,24587
06-121-0047-000,55100
06-121-0048-000,0
06-121-0048-100,88100
06-121-0049-000,30660
06-121-0050-000,33730
06-121-0051-000,31659
06-121-0053-000,1500
06-121-0055-000,26620
06-124-0001-000,31674
06-124-0002-000,29921
06-124-0003-000,29492
06-124-0004-000,42525
06-124-0005-000,34500
06-124-0006-000,31100
06-124-0007-000,20236
06-124-0008-000,19032
06-124-0009-000,14455
06-124-0010-000,58500
06-124-0011-000,42232
06-124-0012-000,27825
06-124-0013-000,26742
06-124-0014-000,37833
06-124-0015-000,48720
06-124-0016-000,22403
06-124-0017-000,35490
06-124-0018-000,34447
06-124-0019-000,32283
06-124-0020-000,21748
06-124-0021-000,23367
06-124-0022-000,24694
06-124-0023-000,24332
06-130-0001-000,0
06-130-0002-000,14488
06-130-0003-000,20629
06-130-0004-000,36443
06-130-0005-000,16835
06-130-0006-000,31064
06-130-0007-000,30618
06-130-0008-000,16549
06-130-0009-000,30233
06-130-0010-000,32012
06-130-0011-000,26007
06-130-0012-000,15293
06-130-0013-000,1800
06-130-0014-000,28465
06-130-0015-000,0
06-130-0016-000,0
06-130-0016-100,24114
06-130-0017-000,35793
06-130-0018-000,25966
06-130-0019-000,22932
06-130-0020-000,55020
06-130-0021-000,29951
06-130-0022-000,28724
06-130-0023-000,25372
06-130-0024-000,25533
06-130-0025-000,1800
06-130-0026-000,0
06-130-0026-100,34735
06-130-0028-000,0
06-130-0029-000,24780
06-130-0030-000,27983
06-130-0031-000,20803
06-130-0032-000,33406
06-130-0033-000,28017
06-130-0035-000,30353
06-130-0036-000,51100
06-130-0037-000,25179
06-130-0038-000,30708
06-130-0039-000,39224
06-133-0001-000,291500
06-133-0002-000,151400
06-133-0003-000,115811
06-133-0004-000,64687
06-133-0005-000,71161
