ParcelMaster.parcelnumber,Parcels.current_taxable
06-306-0015-000,91110
06-306-0016-000,66583
06-306-0017-000,69276
06-306-0018-000,94563
06-306-0019-000,66583
06-306-0020-000,99093
06-309-0023-000,1470
06-309-0024-000,16738
06-309-0025-000,16738
06-309-0026-000,28669
06-309-0027-000,16738
06-309-0028-000,24811
06-309-0029-000,43276
06-309-0030-000,0
06-312-0001-000,51388
06-312-0002-000,48753
06-312-0003-000,41144
06-312-0004-000,33837
06-312-0005-000,40980
06-312-0006-000,46373
06-312-0007-000,63700
06-312-0008-000,41483
06-312-0009-000,44053
06-312-0010-000,45995
06-312-0011-000,67305
06-312-0012-000,27862
06-312-0013-000,30227
06-312-0014-000,61593
06-312-0015-000,28445
06-312-0016-000,0
06-315-0020-000,488512
06-315-0021-000,1035937
06-318-0001-000,25415
06-318-0002-000,1800
06-318-0003-000,18376
06-318-0004-000,18826
06-318-0005-000,22234
06-318-0006-000,31020
06-318-0007-000,2700
06-318-0008-000,1800
06-318-0008-100,1700
06-318-0009-000,0
06-318-0010-000,0
06-318-0011-000,0
06-318-0012-000,0
06-318-0012-100,65915
06-318-0013-000,20803
06-318-0014-000,45885
06-318-0015-000,14905
06-318-0016-000,0
06-318-0016-100,0
06-318-0017-000,0
06-318-0018-000,0
06-318-0019-000,0
06-318-0020-000,0
06-318-0021-000,2300
06-318-0022-000,19150
06-318-0023-000,31420
06-318-0024-000,1700
06-318-0025-000,1700
06-318-0026-000,3000
06-318-0027-000,1300
06-318-0028-000,1300
06-318-0029-000,1300
06-318-0030-000,1300
06-318-0031-000,22105
06-318-0034-000,21852
06-318-0035-000,14419
06-318-0037-000,0
06-318-0038-000,21985
06-318-0039-000,1064
06-318-0040-000,17021
06-318-0041-000,1064
06-318-0042-000,22655
06-318-0043-000,15011
06-318-0044-000,23356
06-318-0045-000,1200
06-318-0046-000,0
06-318-0047-000,0
06-318-0048-000,0
06-318-0048-100,3000
06-318-0049-000,0
06-318-0050-000,0
06-318-0051-000,0
06-318-0052-000,21404
06-318-0053-000,1400
06-321-0001-000,53239
06-321-0002-000,40165
06-321-0006-000,35116
06-321-0007-000,800
06-321-0008-000,1500
06-321-0009-000,29300
06-324-0001-000,26817
06-324-0002-000,28810
06-324-0003-000,4400
06-324-0004-000,23436
06-324-0005-000,45243
06-324-0007-000,3555
06-324-0008-000,32016
06-324-0009-000,48503
06-324-0011-000,0
06-324-0013-000,27945
06-324-0014-000,0
06-324-0016-000,92165
06-324-0017-000,27195
06-324-0018-000,50006
06-324-0019-000,1775
06-324-0020-000,34385
06-324-0021-000,57652
06-324-0021-100,59643
06-324-0023-000,53560
06-324-0024-000,34047
06-324-0025-000,65557
06-324-0026-000,69686
06-324-0027-000,0
06-324-0027-100,48495
06-324-0028-000,0
06-324-0029-000,59643
06-324-0030-000,41233
06-324-0031-000,27319
06-324-0032-000,39841
06-324-0033-000,4300
06-324-0034-000,38474
06-324-0047-000,73105
06-324-0048-000,31204
06-324-0049-000,30453
06-324-0050-000,88110
06-324-0052-000,68308
06-324-0053-000,60537
06-324-0054-000,33837
06-324-0055-000,40314
06-324-0056-000,67354
06-324-0057-000,48629
06-324-0058-000,26066
06-324-0059-000,0
06-324-0059-100,47521
06-324-0060-000,0
06-324-0061-000,54018
06-324-0062-000,35097
06-324-0063-000,35343
06-324-0064-000,41132
06-324-0065-000,35343
06-324-0066-000,59404
06-324-0067-000,45888
06-324-0068-000,38474
06-324-0069-000,54880
06-324-0070-000,45532
06-324-0071-000,68075
06-324-0072-000,57176
06-324-0073-000,35343
06-324-0074-000,46373
06-324-0075-000,28573
06-324-0076-000,29641
06-324-0077-000,59059
06-324-0078-000,47122
06-324-0079-000,4200
06-324-0080-000,42921
06-324-0081-000,60435
06-324-0082-000,41262
06-324-0083-000,45496
06-324-0084-000,50036
06-324-0085-000,36165
06-324-0086-000,0
06-324-0087-000,72403
06-324-0088-000,27388
06-324-0089-000,34739
06-324-0090-000,48126
06-324-0091-000,26568
06-324-0092-000,45675
06-324-0092-100,49882
06-324-0093-000,50258
06-324-0094-000,43988
06-324-0096-000,72588
06-324-0097-000,25814
06-324-0098-000,30353
06-324-0099-000,48260
06-324-0100-000,39978
06-324-0101-000,39945
06-324-0102-000,33199
06-324-0103-000,25254
06-324-0104-000,19296
06-324-0105-000,52920
06-324-0106-000,62014
06-324-0109-000,42612
06-324-0110-000,32012
06-324-0111-000,40231
06-324-0112-000,37411
06-324-0113-000,30826
06-324-0115-000,42234
06-324-0116-000,36344
06-324-0117-000,42300
06-324-0118-000,61629
06-324-0119-000,45243
06-324-0120-000,34841
06-324-0121-000,40078
06-324-0122-000,44433
06-324-0123-000,43859
06-324-0124-000,43489
06-324-0125-000,62799
06-324-0126-000,31455
06-324-0128-000,72038
06-324-0129-000,67000
06-324-0130-000,48061
06-324-0131-000,32807
06-324-0132-000,46873
06-324-0133-000,46496
06-324-0134-000,61149
06-324-0135-000,26943
06-324-0136-000,0
06-324-0137-000,30736
06-324-0138-000,47100
06-324-0139-000,37847
06-324-0140-000,41974
06-324-0141-000,0
06-324-0141-100,56982
06-324-0141-200,66881
06-324-0143-000,44300
06-324-0144-000,4500
06-324-0145-000,40104
06-324-0146-000,28699
06-324-0147-000,68958
06-324-0148-000,0
06-324-0149-000,0
06-324-0149-100,44182
06-324-0150-000,0
06-324-0150-100,0
06-324-0152-000,0
06-324-0152-100,29055
06-324-0152-200,0
06-324-0153-000,51628
06-324-0154-000,29451
06-324-0155-000,36520
06-324-0156-000,38226
06-324-0157-000,35334
06-324-0158-000,44868
06-324-0159-000,31379
06-324-0160-000,27569
06-324-0161-000,36971
06-324-0162-000,44462
06-324-0163-000,59330
06-324-0164-000,46124
06-324-0165-000,31956
06-324-0166-000,4800
06-324-0167-000,34739
06-324-0168-000,51888
06-324-0169-000,43736
06-324-0170-000,46616
06-324-0171-000,56091
06-324-0172-000,0
06-324-0173-000,39229
06-324-0174-000,36220
06-324-0175-000,43396
06-324-0176-000,40858
06-324-0177-000,50379
06-324-0178-000,41483
06-324-0179-000,40231
06-324-0180-000,45532
06-324-0181-000,40104
06-324-0182-000,30868
06-324-0183-000,40668
06-324-0184-000,39806
06-324-0185-000,29451
06-324-0186-000,40858
06-324-0187-000,4800
06-324-0188-000,28218
06-324-0189-000,34500
06-324-0190-000,41974
06-324-0191-000,51135
06-324-0192-000,38976
06-324-0193-000,52640
06-324-0194-000,59157
06-324-0195-000,77500
06-324-0196-000,43990
06-324-0197-000,50760
06-324-0198-000,57750
06-324-0199-000,72526
06-324-0200-000,74500
06-324-0201-000,61200
06-324-0202-000,68309
06-324-0203-000,36720
06-324-0204-000,47933
06-324-0205-000,51525
06-324-0206-000,51888
06-324-0207-000,35343
06-324-0208-000,63166
06-324-0210-000,46873
06-324-0211-000,0
06-324-0211-100,66520
06-324-0212-000,0
06-328-0002-000,0
06-328-0003-000,53247
06-328-0004-000,37451
06-328-0005-000,70245
06-328-0006-000,40878
06-328-0007-000,46265
06-328-0008-000,0
06-328-0008-100,55200
06-328-0010-100,0
06-328-0010-200,83211
06-328-0010-300,6259
06-328-0011-000,56357
06-328-0014-000,33902
06-328-0015-000,70980
06-328-0016-000,400778
06-328-0016-100,83366
06-328-0017-000,0
06-328-0018-000,149280
06-330-0001-000,18671
06-330-0001-100,41562
06-330-0002-000,25780
06-330-0003-000,22042
06-330-0004-000,24934
06-330-0005-000,36335
06-330-0006-000,21561
06-330-0006-100,36660
06-330-0007-000,17500
06-330-0008-000,33248
06-330-0009-000,29512
06-330-0010-000,29921
06-330-0011-000,52571
06-330-0012-000,43000
06-330-0013-000,25966
06-330-0013-100,34693
06-330-0014-000,39030
06-330-0015-000,22042
06-330-0016-000,14456
06-330-0017-000,38213
06-330-0018-000,28791
06-330-0019-000,22644
06-330-0020-000,66780
06-330-0021-000,24934
06-330-0022-000,20985
06-330-0023-000,30477
06-330-0024-000,17103
06-333-0001-000,1534
06-333-0002-000,34635
06-333-0003-000,38000
06-333-0004-000,17987
06-333-0005-000,38669
06-333-0006-000,19996
06-333-0007-000,34100
06-333-0008-000,79900
06-333-0009-000,38382
06-333-0010-000,1890
06-333-0011-000,19679
06-333-0012-000,30116
06-333-0013-000,16620
06-333-0015-000,6793
06-339-0001-000,519600
06-342-0001-000,0
06-342-0001-100,9000
06-342-0002-000,0
06-342-0003-000,35537
06-342-0004-000,34693
06-342-0005-000,24811
06-342-0006-000,19272
06-342-0007-000,40716
06-342-0008-000,36624
06-342-0009-000,28187
06-342-0010-000,37948
06-342-0011-000,31775
06-342-0012-000,33172
06-342-0013-000,24694
06-342-0014-000,35250
06-342-0015-000,25900
06-342-0016-000,31077
06-342-0017-000,22767
06-342-0018-000,23128
06-342-0019-000,1470
06-342-0020-000,29393
06-342-0021-000,28426
06-342-0022-000,24090
06-342-0023-000,21740
06-342-0024-000,4410
06-342-0025-000,15903
06-342-0026-000,19032
06-342-0027-000,28550
06-342-0028-000,23695
06-342-0029-000,40345
06-342-0030-000,33200
06-342-0031-000,40891
06-342-0032-000,4800
06-342-0033-000,22500
06-342-0034-000,18558
06-342-0035-000,0
06-342-0036-000,0
06-342-0036-100,21857
06-342-0037-000,4800
06-342-0038-000,10800
06-342-0039-000,45150
06-342-0040-000,4500
06-342-0041-000,0
06-342-0041-100,54389
06-342-0042-000,0
06-342-0043-000,0
06-342-0044-000,0
06-342-0045-000,0
06-342-0046-000,0
06-342-0046-100,22545
06-342-0047-000,12700
06-342-0048-000,16902
06-342-0049-000,14548
06-342-0050-000,11922
06-342-0051-000,15366
06-342-0052-000,18207
06-342-0053-000,18790
06-342-0054-000,21082
06-342-0055-000,1500
06-342-0056-000,15130
06-342-0057-000,10277
06-342-0058-000,0
06-342-0059-000,0
06-342-0059-100,0
06-342-0060-000,13948
06-342-0061-000,13593
06-342-0062-000,23001
06-342-0063-000,36019
06-342-0064-000,26140
06-342-0065-000,22164
06-342-0068-000,5468
06-342-0069-000,1575
06-342-0070-000,1575
06-342-0071-000,23849
06-342-0073-000,1575
06-342-0074-000,37400
06-342-0075-000,28309
06-342-0076-000,1195
06-342-0077-000,21766
06-342-0078-000,25416
06-342-0079-000,0
06-342-0082-000,16982
06-342-0083-000,0
06-342-0084-000,13128
06-342-0085-000,0
06-342-0086-000,19631
06-342-0087-000,14548
06-342-0088-000,12766
06-342-0089-000,37485
06-342-0090-000,17706
06-342-0091-000,14799
06-342-0092-000,18066
06-342-0093-000,18066
06-342-0094-000,21801
06-342-0095-000,1575
06-342-0096-000,20923
06-342-0097-000,15578
06-342-0098-000,19671
06-342-0099-000,15620
06-342-0100-000,11802
06-342-0101-000,9336
06-342-0102-000,10533
06-342-0103-000,39155
06-342-0104-000,19513
06-342-0105-000,32042
06-342-0106-000,30684
06-342-0107-000,16743
06-342-0108-000,20718
06-342-0110-000,20478
06-342-0111-000,1575
06-342-0112-000,0
06-342-0113-000,0
06-342-0113-100,23445
06-342-0114-000,45202
06-342-0115-000,1575
06-342-0116-000,23008
06-342-0117-000,27658
06-342-0118-000,31600
06-342-0119-000,0
06-342-0120-000,20478
06-342-0121-000,1575
06-342-0122-000,22492
06-342-0123-000,26861
06-342-0124-000,26048
06-342-0125-000,13971
06-342-0126-000,23367
06-342-0127-000,36259
06-342-0129-000,1470
06-342-0130-000,66864
06-342-0131-000,23490
06-342-0132-000,23128
06-342-0133-000,24573
06-342-0134-000,27714
06-342-0135-000,52901
06-342-0136-000,1680
06-342-0137-000,58755
06-342-0138-000,30589
06-342-0139-000,55545
06-342-0140-000,50500
06-342-0141-000,26259
06-342-0142-000,39900
06-342-0143-000,35408
06-342-0144-000,25819
06-342-0145-000,30524
06-342-0146-000,37801
06-342-0147-000,25537
06-342-0148-000,37411
06-342-0149-000,39570
06-342-0150-000,25780
06-342-0151-000,40425
06-342-0152-000,14455
06-342-0153-000,29392
06-342-0154-000,23971
06-342-0155-000,26063
06-342-0156-000,51031
06-342-0157-000,33434
06-342-0158-000,32163
06-342-0159-000,35778
06-342-0160-000,40357
06-342-0161-000,38548
06-342-0162-000,52500
06-342-0163-000,30717
06-342-0164-000,34047
06-342-0165-000,1470
06-342-0166-000,41975
06-342-0167-000,28343
06-342-0168-000,26715
06-342-0169-000,27585
06-342-0170-000,42688
06-342-0170-100,0
06-342-0171-000,31920
06-342-0172-000,30318
06-342-0173-000,68145
06-342-0174-000,27345
06-342-0175-000,41685
06-342-0176-000,41650
06-342-0177-000,0
06-342-0178-000,0
06-342-0178-100,27034
06-342-0179-000,28309
06-342-0180-000,0
06-342-0180-100,33691
06-342-0181-000,0
06-342-0182-000,0
06-342-0183-000,0
06-342-0183-100,30855
06-342-0184-000,50000
06-342-0185-000,25780
06-342-0186-000,28791
06-342-0187-000,31558
06-342-0188-000,24694
06-342-0189-000,37102
06-342-0190-000,29151
06-342-0191-000,31564
06-342-0192-000,1575
06-342-0193-000,28689
06-342-0195-000,25018
06-342-0196-000,18440
06-342-0197-000,1893
06-342-0198-000,24811
06-342-0199-000,29487
06-342-0200-000,26020
06-342-0201-000,33189
06-342-0202-000,1575
06-342-0203-000,0
06-342-0204-000,0
06-342-0204-100,35506
06-342-0205-000,36750
06-342-0206-000,25017
06-342-0207-000,17021
06-342-0208-000,1575
06-342-0209-000,27766
06-342-0211-000,24934
06-342-0212-000,29633
06-342-0213-000,25655
06-342-0214-000,35415
06-342-0216-000,23367
06-342-0217-000,43263
06-342-0218-000,35228
06-342-0219-000,32340
06-342-0220-000,22655
06-342-0221-000,20597
06-342-0222-000,37170
06-342-0223-000,19392
06-342-0224-000,27345
06-342-0225-000,35176
06-342-0226-000,26259
06-342-0227-000,30900
06-342-0228-000,37224
06-342-0229-000,26379
06-342-0230-000,22887
06-342-0231-000,51552
06-342-0232-000,21682
06-342-0233-000,34164
06-342-0234-000,0
06-342-0235-000,0
06-342-0235-100,30676
06-342-0236-000,27705
06-342-0237-000,32886
06-342-0238-000,39375
06-342-0239-000,25141
06-342-0240-000,49455
06-342-0241-000,35229
06-342-0242-000,28694
06-342-0243-000,23168
06-342-0244-000,30706
06-342-0245-000,49602
06-342-0246-000,32132
06-342-0247-000,55300
06-342-0248-000,82900
06-342-0249-000,26259
06-342-0250-000,20686
06-342-0251-000,36259
06-342-0252-000,26020
06-342-0253-000,22403
06-342-0254-000,32663
06-342-0255-000,32886
06-342-0256-000,11562
06-342-0257-000,35116
06-342-0258-000,29695
06-342-0259-000,1470
06-342-0260-000,19858
06-342-0261-000,37825
06-342-0262-000,24452
06-342-0263-000,28791
06-342-0264-000,20597
06-342-0265-000,21198
06-342-0266-000,26124
06-342-0267-000,0
06-342-0267-100,19087
06-342-0268-000,0
06-342-0269-000,49200
06-342-0270-000,59000
06-342-0271-000,42500
06-342-0272-000,55400
06-342-0273-000,35280
06-342-0274-000,21573
06-342-0275-000,28187
06-342-0276-000,33126
06-342-0277-000,25500
06-342-0278-000,2100
06-342-0279-000,18915
06-342-0280-000,21441
06-342-0281-000,0
06-342-0281-100,24300
06-342-0282-000,22164
06-342-0283-000,630
06-342-0284-000,0
06-342-0285-000,23314
06-342-0286-000,35000
06-342-0287-000,54800
06-342-0288-000,34333
06-342-0292-000,129885
06-342-0293-000,38187
06-342-0294-000,56726
06-342-0295-000,31209
06-342-0296-000,34080
06-342-0297-000,30618
06-342-0301-000,33454
06-342-0302-000,33165
06-342-0303-000,28343
06-342-0304-000,39130
06-342-0305-000,33730
06-342-0306-000,56920
06-342-0307-000,31344
06-342-0308-000,177100
06-342-0309-000,89966
06-342-0310-000,156765
06-342-0311-000,69707
06-342-0312-000,105583
06-342-0313-000,197715
06-342-0314-000,154100
06-342-0315-000,108113
06-342-0316-000,84466
06-342-0317-000,4100
06-342-0318-000,4100
06-342-0319-000,4100
06-342-0320-000,21198
06-342-0321-000,20837
06-342-0322-000,26861
06-342-0323-000,94920
06-342-0324-000,4100
06-342-0325-000,4500
06-342-0326-000,3600
06-342-0327-000,6800
06-342-0329-000,0
06-343-0001-000,32274
06-343-0002-000,1368
06-343-0003-000,22644
06-343-0004-000,85100
06-343-0005-000,59173
06-343-0006-000,8403
06-343-0007-000,18066
06-343-0009-000,1365
06-343-0010-000,7465
06-343-0012-000,707
06-343-0013-000,14935
06-343-0014-000,23713
06-343-0015-000,16519
06-343-0016-000,9927
06-343-0017-000,10115
06-343-0018-000,9997
06-343-0019-000,44035
06-343-0020-000,37825
06-343-0021-000,0
06-343-0021-100,10595
06-343-0022-000,0
06-343-0023-000,10958
06-343-0024-000,7333
06-343-0025-000,38535
06-343-0027-000,38180
06-343-0028-000,701
06-343-0029-000,0
06-343-0030-000,0
06-343-0031-000,18475
06-343-0032-000,0
06-343-0033-000,0
06-343-0034-000,18790
06-343-0035-000,0
06-343-0036-000,0
06-343-0037-000,0
06-343-0037-100,38654
06-343-0038-000,5231
06-343-0040-000,21320
06-343-0041-000,840
06-343-0042-000,0
06-343-0043-000,0
06-343-0043-100,10059
06-343-0044-000,32368
06-343-0045-000,26100
06-343-0047-000,40357
06-343-0048-000,29800
06-343-0049-000,25886
06-343-0050-000,38400
06-343-0051-000,17424
06-343-0053-000,35097
06-343-0054-000,35200
06-343-0056-000,29994
06-343-0058-000,34621
06-343-0059-000,0
06-343-0059-100,1365
06-343-0059-200,1365
06-343-0063-000,13489
06-343-0064-000,11877
06-343-0065-000,37224
06-343-0066-000,36740
06-343-0068-000,0
06-343-0068-100,38535
06-343-0069-000,0
06-343-0070-000,0
06-343-0071-000,17585
06-343-0072-000,840
06-343-0073-000,840
06-343-0074-000,840
06-343-0075-000,29473
06-343-0076-000,23490
06-343-0077-000,0
06-343-0078-000,0
06-343-0078-100,13054
06-343-0079-000,2000
06-343-0081-000,5705
06-343-0082-000,0
06-343-0082-100,15658
06-343-0083-000,0
06-343-0084-000,0
06-343-0085-000,1155
06-343-0086-000,11564
06-343-0087-000,15296
06-343-0088-000,0
06-343-0093-000,12647
06-343-0094-000,6456
06-343-0095-000,16501
06-343-0096-000,0
06-343-0096-100,11646
06-343-0097-000,0
06-343-0098-000,12966
06-343-0099-000,4357
06-343-0100-000,864
06-343-0101-000,12404
06-343-0102-000,336
06-343-0102-100,10719
06-343-0103-000,1365
06-343-0104-000,1365
06-343-0105-000,0
06-343-0105-100,0
06-343-0105-200,0
06-343-0105-210,37434
06-343-0105-300,0
06-343-0106-000,0
06-343-0108-000,467
06-343-0109-000,17103
06-343-0110-000,1365
06-343-0111-000,24255
06-343-0112-000,23206
06-343-0113-000,43155
06-343-0114-000,28136
06-343-0115-000,66800
06-343-0116-000,0
06-343-0117-000,0
06-343-0117-100,11802
06-343-0118-000,0
06-343-0119-000,0
06-343-0119-100,840
06-343-0120-000,0
06-343-0121-000,0
06-343-0121-100,0
06-343-0121-200,53485
06-343-0122-000,46961
06-343-0123-000,29032
06-343-0124-000,0
06-343-0124-100,10742
06-343-0125-000,0
06-343-0126-000,10426
06-343-0127-000,707
06-343-0128-000,12525
06-343-0129-000,707
06-343-0130-000,707
06-343-0132-000,62041
06-343-0135-000,12999
06-343-0136-000,840
06-343-0137-000,10838
06-343-0138-000,28067
06-343-0140-000,10356
06-345-0001-000,1514802
06-345-0001-100,0
06-345-0022-000,2432535
06-345-0088-000,15300
06-345-0089-000,0
06-345-0090-000,30945
06-345-0091-000,0
06-345-0092-000,1470
06-345-0093-000,0
06-345-0095-000,0
06-345-0096-000,0
06-345-0097-000,8555
06-345-0098-000,0
06-345-0099-000,5419
06-345-0100-000,0
06-345-0101-000,0
06-345-0102-000,0
06-345-0103-000,1260
06-345-0104-000,1260
06-345-0105-000,1260
06-345-0106-000,15055
06-345-0106-100,8901
06-345-0107-000,1470
06-345-0108-000,0
06-345-0109-000,0
06-345-0110-000,0
06-345-0111-000,0
06-345-0112-000,0
06-345-0113-000,0
06-345-0114-000,0
06-345-0115-000,18690
06-345-0116-000,36402
06-345-0117-000,24381
06-345-0118-000,13248
06-345-0119-000,0
06-345-0120-000,0
06-345-0121-000,0
06-345-0122-000,0
06-345-0123-000,0
06-345-0123-100,0
06-345-0123-200,64506
06-345-0124-000,0
06-345-0125-000,0
06-345-0126-000,0
06-345-0126-100,35910
06-345-0127-000,29512
06-348-0001-000,41700
06-348-0002-000,30370
06-348-0003-000,20331
06-348-0004-000,13948
06-348-0005-000,14775
06-348-0006-000,24655
06-348-0007-000,29068
06-348-0008-000,1680
06-348-0009-000,20331
06-348-0010-000,15957
06-348-0011-000,0
06-348-0011-100,303965
06-348-0012-000,0
06-348-0013-000,0
06-348-0014-000,0
06-348-0015-000,0
06-348-0016-000,19148
06-348-0017-000,13710
06-348-0018-000,25075
06-353-0002-000,30751
06-353-0003-000,21320
06-353-0004-000,2300
06-353-0005-000,30356
06-353-0006-000,0
06-353-0007-000,49893
06-353-0008-000,27555
06-353-0009-000,0
06-353-0010-000,0
06-353-0010-100,0
06-353-0010-110,38916
06-353-0011-000,50505
06-353-0012-000,22767
06-353-0013-000,2600
06-353-0014-000,26742
06-353-0015-000,33732
06-353-0016-000,31815
06-353-0017-000,30370
06-353-0018-000,36540
06-353-0019-000,12888
06-353-0020-000,19272
06-353-0021-000,23971
06-353-0024-000,20116
06-353-0025-000,32476
06-353-0026-000,27345
06-353-0027-000,45421
06-353-0028-000,56100
06-353-0029-000,51559
06-353-0030-000,28187
06-353-0031-000,47800
06-353-0032-000,31165
06-353-0033-000,60795
06-353-0034-000,39800
06-353-0035-000,18671
06-353-0036-000,25416
06-353-0037-000,24452
06-353-0038-000,22285
06-353-0039-000,28918
06-356-0001-000,64200
06-356-0002-000,38823
06-356-0003-000,2205
06-356-0004-000,39011
06-356-0005-000,66045
06-356-0006-000,29199
06-356-0007-000,32036
06-356-0008-000,51520
06-356-0009-000,35803
06-356-0010-000,46815
06-356-0011-000,63295
06-356-0012-000,34300
06-356-0013-000,56490
06-356-0015-000,28168
06-356-0016-000,17709
06-356-0017-000,0
06-356-0018-000,35595
06-356-0019-000,23758
06-356-0020-000,28136
06-356-0021-000,26007
06-356-0022-000,34094
06-356-0023-000,29908
06-356-0024-000,28487
06-356-0025-000,29605
06-356-0026-000,30854
06-359-0001-000,49324
06-359-0002-000,42592
06-359-0003-000,52264
06-359-0004-000,73682
06-359-0005-000,52018
06-362-0001-000,28550
06-362-0002-000,51440
06-362-0003-000,52605
06-362-0004-000,49873
06-362-0006-000,65310
06-362-0007-000,27464
06-362-0008-000,64753
06-362-0008-100,48287
06-362-0009-000,0
06-362-0009-100,42579
06-362-0010-000,0
06-362-0011-000,7267
06-362-0012-000,50154
06-362-0012-100,35200
06-362-0014-000,28669
06-362-0015-000,36768
06-362-0016-000,43482
06-362-0017-000,15900
06-362-0018-000,14455
06-362-0019-000,23500
06-362-0021-000,45570
06-362-0022-000,20597
06-362-0023-000,66900
06-362-0024-000,30234
06-362-0025-000,34404
06-362-0026-000,16895
06-362-0027-000,39632
06-362-0028-000,25655
06-362-0029-000,0
06-362-0030-000,0
06-362-0030-100,45988
06-362-0031-000,19310
06-362-0032-000,30589
06-362-0033-000,28827
06-362-0034-000,41700
06-362-0035-000,23831
06-362-0036-000,15023
06-362-0037-000,19631
06-362-0038-000,45500
06-362-0038-100,23849
06-362-0039-000,48392
06-362-0040-000,29151
06-362-0041-000,0
06-362-0042-000,0
06-362-0042-100,66319
06-362-0043-000,0
06-362-0047-000,25055
06-362-0048-000,20116
06-362-0049-000,0
06-362-0049-100,152281
06-362-0050-000,0
06-362-0051-000,0
06-362-0052-000,0
06-362-0053-000,0
06-362-0054-000,0
06-362-0056-000,72942
06-362-0057-000,25537
06-362-0058-000,26589
06-362-0059-000,30356
06-362-0060-000,56385
06-362-0061-000,21801
06-362-0062-000,29032
06-362-0064-000,7049
06-362-0065-000,4121
06-362-0066-000,4121
06-362-0067-000,29285
06-362-0069-000,33487
06-362-0070-000,31328
06-362-0071-000,31563
06-362-0072-000,0
06-362-0072-100,65500
06-362-0073-000,0
06-362-0074-000,22164
06-362-0075-000,24934
06-362-0076-000,0
06-362-0077-000,19162
06-362-0078-000,0
06-362-0079-000,23367
06-362-0080-000,48600
06-362-0081-000,26738
06-362-0082-000,0
06-362-0083-000,26140
06-362-0084-000,23971
06-362-0085-000,30381
06-362-0086-000,67830
06-362-0088-000,26620
06-362-0089-000,15536
06-362-0090-000,45725
06-362-0091-000,24452
06-362-0092-000,10298
06-362-0093-000,29951
06-362-0094-000,30064
06-362-0095-000,4121
06-362-0096-000,27120
06-362-0097-000,22644
06-362-0098-000,32645
06-362-0099-000,20837
06-362-0100-000,26048
06-362-0101-000,23347
06-362-0102-000,20116
06-362-0103-000,15778
06-362-0104-000,0
06-362-0104-100,39480
06-362-0105-000,0
06-362-0106-000,47402
06-362-0107-000,19631
06-362-0108-000,20718
06-362-0109-000,17706
06-362-0110-000,17706
06-362-0111-000,15900
06-362-0112-000,0
06-362-0112-100,15117
06-362-0113-000,0
06-362-0114-000,0
06-362-0115-000,0
06-362-0115-100,127582
06-362-0116-000,42688
06-362-0117-000,25780
06-362-0117-100,40363
06-362-0118-000,26896
06-362-0119-000,19631
06-362-0120-000,18309
06-362-0121-000,4121
06-362-0122-000,20837
06-362-0123-000,44685
06-362-0125-000,26620
06-362-0126-000,30612
06-362-0127-000,0
06-362-0127-100,0
06-362-0127-200,0
06-362-0128-000,0
06-362-0129-000,0
06-362-0130-000,27625
06-362-0131-000,30499
06-362-0132-000,32766
06-362-0133-000,57594
06-362-0134-000,0
06-362-0135-000,21320
06-362-0136-000,43371
06-362-0138-000,21800
06-362-0139-000,26111
06-362-0140-000,39585
06-362-0141-000,0
06-362-0141-100,0
06-362-0142-000,21546
06-362-0143-000,24811
06-362-0144-000,21921
06-362-0145-000,39914
06-362-0146-000,15418
06-362-0147-000,17343
06-362-0148-000,0
06-362-0149-000,29151
06-362-0150-000,1656
06-362-0151-000,23732
06-362-0152-000,22042
06-362-0153-000,0
06-362-0157-000,0
06-362-0158-000,21441
06-362-0159-000,663
06-362-0160-000,19272
06-362-0161-000,13971
06-362-0162-000,1184
06-362-0163-000,1184
06-362-0165-000,14813
06-362-0166-000,29385
06-362-0167-000,39795
06-362-0168-000,19513
06-362-0169-000,15998
06-362-0170-000,40845
06-362-0171-000,24573
06-362-0172-000,0
06-362-0172-100,0
06-362-0176-000,0
06-362-0178-000,0
06-362-0178-100,111061
06-362-0184-000,0
06-362-0186-000,0
06-362-0198-000,34424
06-362-0199-000,38187
06-362-0200-000,0
06-362-0201-000,0
06-362-0201-100,87200
06-362-0202-000,39005
06-362-0203-000,22042
06-362-0204-000,23247
06-362-0205-000,40635
06-362-0206-000,25055
06-362-0207-000,51303
06-362-0208-000,10719
06-362-0209-000,17706
06-362-0211-000,26621
06-362-0212-000,34000
06-362-0213-000,3885
06-362-0214-000,21921
06-362-0215-000,0
06-362-0216-000,26982
06-362-0216-100,48392
06-362-0217-000,41600
06-362-0218-000,47399
06-362-0218-100,39702
06-362-0218-200,55650
06-362-0219-000,26379
06-362-0220-000,18189
06-362-0221-000,0
06-362-0222-000,0
06-362-0222-100,39088
06-362-0223-000,24934
06-362-0224-000,0
06-362-0225-000,0
06-362-0226-000,1489
06-362-0227-000,1489
06-362-0228-000,1489
06-362-0229-000,1489
06-362-0230-000,42161
06-362-0231-000,25416
06-362-0232-000,25297
06-362-0233-000,33732
06-362-0234-000,4500
06-362-0235-000,48060
06-362-0236-000,45163
06-362-0237-000,23008
06-362-0238-000,30595
06-362-0239-000,36500
06-362-0240-000,51663
06-362-0241-000,25780
06-362-0242-000,15178
06-362-0243-000,42044
06-362-0244-000,35110
06-362-0245-000,34693
06-362-0246-000,17466
06-362-0247-000,0
06-362-0247-100,32403
06-362-0248-000,0
06-362-0249-000,0
06-362-0250-000,48616
06-362-0251-000,19032
06-362-0252-000,62760
